Amp In,Amp Out,Control Voltage,Attenuation
0,944.000000,383.000000,0.000000,-7.8355
1,944.000000,382.000000,0.100000,-7.8582
2,944.000000,378.000000,0.200000,-7.9496
3,944.000000,374.000000,0.300000,-8.0420
4,944.000000,360.000000,0.400000,-8.3734
5,944.000000,326.000000,0.500000,-9.2351
6,944.000000,282.000000,0.600000,-10.4945
7,944.000000,236.000000,0.700000,-12.0412
8,944.000000,191.000000,0.800000,-13.8788
9,944.000000,142.000000,0.900000,-16.4537
10,944.000000,94.000000,1.000000,-20.0369
11,944.000000,68.000000,1.100000,-22.8493
12,944.000000,52.000000,1.200000,-25.1794
13,944.000000,39.000000,1.300000,-27.6781
14,944.000000,28.000000,1.400000,-30.5563
