Index, Amp In,Amp Out,Control Voltage,Attenuation
0,9.441939e-01,4.555366000000000137e-01,2.000000000000000111e-01,-6.330759206158166563e+00
1,9.441939e-01,4.516072999999999893e-01,2.631578947368421462e-01,-6.406005657360408279e+00
2,9.441939e-01,4.475681000000000243e-01,3.263157894736842257e-01,-6.484042226014603116e+00
3,9.441939e-01,4.375562000000000062e-01,3.894736842105263053e-01,-6.680547886422695925e+00
4,9.441939e-01,4.186957000000000040e-01,4.526315789473684403e-01,-7.063254712201118224e+00
5,9.441939e-01,3.852075999999999834e-01,5.157894736842105754e-01,-7.787327786445467304e+00
6,9.441939e-01,3.516683999999999921e-01,5.789473684210526550e-01,-8.578557816354232202e+00
7,9.441939e-01,3.136397000000000213e-01,6.421052631578947345e-01,-9.572604130963496161e+00
8,9.441939e-01,2.782934000000000241e-01,7.052631578947368141e-01,-1.061116659173691446e+01
9,9.441939e-01,2.412735000000000019e-01,7.684210526315788936e-01,-1.185103224072763339e+01
10,9.441939e-01,2.023862999999999912e-01,8.315789473684209732e-01,-1.337760251134162814e+01
11,9.441939e-01,1.668728999999999907e-01,8.947368421052632748e-01,-1.505350845858981934e+01
12,9.441939e-01,1.292664000000000035e-01,9.578947368421053543e-01,-1.727151164434261688e+01
13,9.441939e-01,1.026834999999999970e-01,1.021052631578947434e+00,-1.927121146013218578e+01
14,9.441939e-01,8.414829999999999532e-02,1.084210526315789513e+00,-2.100031779455115100e+01
15,9.441939e-01,7.177759999999999696e-02,1.147368421052631593e+00,-2.238144606844839757e+01
16,9.441939e-01,6.057950000000000140e-02,1.210526315789473673e+00,-2.385471103627266132e+01
17,9.441939e-01,5.153760000000000285e-02,1.273684210526315752e+00,-2.525874091679250810e+01
18,9.441939e-01,4.241670000000000162e-02,1.336842105263157832e+00,-2.695048717487111745e+01
19,9.441939e-01,3.495580000000000215e-02,1.399999999999999911e+00,-2.863083980926412409e+01
